start_time,app_time,flip,flip_value,energy_uj_dram,app_state,num_read
1659017439315935608,11072632,1,549755813888,45476236913,3735928559,65000
1659017439376995710,72132734,0,0,45476266453,3735928559,65000
1659017439438055722,133192746,0,0,45476295933,3735928559,65000
1659017439499115775,194252799,0,0,45476325413,3735928559,65000
1659017439560175818,255312842,1,549755813888,45476354832,3735928559,65000
1659017439621235871,316372895,1,549755813888,45476384312,3735928559,65000
1659017439682295920,377432944,0,0,45476413792,3735928559,65000
1659017439743355990,438493014,1,549755813888,45476443272,3735928559,65000
1659017439804416084,499553108,1,549755813888,45476472752,3735928559,65000
1659017439865476076,560613100,1,549755813888,45476502232,3735928559,65000
1659017439926536181,621673205,0,0,45476531651,3735928559,65000
1659017439987596203,682733227,0,0,45476561130,3735928559,65000
1659017440048656254,743793278,0,0,45476590671,3735928559,65000
1659017440109716256,804853280,0,0,45476620090,3735928559,65000
1659017440170776377,865913401,1,549755813888,45476649997,3735928559,65000
1659017440231836432,926973456,0,0,45476679538,3735928559,65000
1659017440292896442,988033466,1,549755813888,45476708957,3735928559,65000
1659017440353956545,1049093569,0,0,45476738437,3735928559,65000
1659017440415016524,1110153548,1,549755813888,45476767917,3735928559,65000
1659017440476076653,1171213677,0,0,45476797397,3735928559,65000
1659017440537136855,1232273879,1,549755813888,45476826816,3735928559,65000
1659017440598196753,1293333777,0,0,45476856296,3735928559,65000
1659017440659256773,1354393797,0,0,45476885776,3735928559,65000
1659017440720316818,1415453842,0,0,45476915256,3735928559,65000
1659017440781376869,1476513893,1,549755813888,45476944674,3735928559,65000
1659017440842436880,1537573904,0,0,45476975070,3735928559,65000
1659017440903496972,1598633996,0,0,45477004061,3735928559,65000
1659017440964557026,1659694050,0,0,45477033541,3735928559,65000
1659017441025617120,1720754144,1,549755813888,45477062960,3735928559,65000
1659017441086677178,1781814202,1,549755813888,45477092440,3735928559,65000
1659017441147737211,1842874235,1,549755813888,45477121920,3735928559,65000
1659017441208797577,1903934601,0,0,45477151400,3735928559,65000
1659017441269857275,1964994299,0,0,45477181368,3735928559,65000
1659017441330917333,2026054357,1,549755813888,45477210848,3735928559,65000
1659017441391977440,2087114464,0,0,45477240267,3735928559,65000
1659017441453037404,2148174428,1,549755813888,45477269747,3735928559,65000
1659017441514097495,2209234519,0,0,45477299227,3735928559,65000
1659017441575157597,2270294621,1,549755813888,45477328707,3735928559,65000
1659017441636217640,2331354664,0,0,45477358187,3735928559,65000
1659017441697277700,2392414724,0,0,45477387666,3735928559,65000
1659017441758337744,2453474768,0,0,45477417146,3735928559,65000
1659017441819397748,2514534772,0,0,45477446626,3735928559,65000
1659017441880458151,2575595175,0,0,45477476106,3735928559,65000
1659017441941517898,2636654922,1,549755813888,45477505647,3735928559,65000
1659017442002577899,2697714923,1,549755813888,45477535066,3735928559,65000
1659017442063637994,2758775018,1,549755813888,45477564546,3735928559,65000
1659017442124698045,2819835069,1,549755813888,45477594026,3735928559,65000
1659017442185758096,2880895120,0,0,45477623506,3735928559,65000
1659017442246818158,2941955182,1,549755813888,45477652986,3735928559,65000
1659017442307878160,3003015184,0,0,45477682954,3735928559,65000
1659017442368938253,3064075277,1,549755813888,45477712434,3735928559,65000
1659017442429998256,3125135280,1,549755813888,45477741914,3735928559,65000
1659017442491058308,3186195332,0,0,45477771332,3735928559,65000
1659017442552118360,3247255384,0,0,45477800812,3735928559,65000
1659017442613178472,3308315496,0,0,45477830292,3735928559,65000
1659017442674238456,3369375480,0,0,45477859711,3735928559,65000
1659017442735298578,3430435602,1,549755813888,45477889191,3735928559,65000
1659017442796358579,3491495603,1,549755813888,45477918671,3735928559,65000
1659017442857418690,3552555714,1,549755813888,45477948151,3735928559,65000
1659017442918478740,3613615764,0,0,45477977631,3735928559,65000
1659017442979538743,3674675767,1,549755813888,45478007111,3735928559,65000
1659017443040598803,3735735827,0,0,45478036530,3735928559,65000
1659017443101658902,3796795926,1,549755813888,45478066009,3735928559,65000
1659017443162719013,3857856037,0,0,45478095550,3735928559,65000
