time,memory_offset,activation_count
0,0x808,496938.0
1,0x80a,456865.0
2,0x80c,455480.0
3,0x80e,457754.0
4,0x810,461185.0
5,0x812,464961.0
6,0x814,464028.0
7,0x816,462296.0
8,0x818,459034.0
9,0x81a,464496.0
10,0x81c,460942.0
11,0x81e,471610.0
12,0x820,466489.0
13,0x822,459206.0
14,0x824,469766.0
15,0x826,458565.0
16,0x828,467944.0
17,0x82a,459204.0
18,0x82c,464157.0
19,0x82e,460428.0
20,0x830,464157.0
21,0x832,459636.0
22,0x834,461715.0
23,0x836,458106.0
24,0x838,463302.0
25,0x83a,462706.0
26,0x83c,460797.0
27,0x83e,460904.0
28,0x840,464306.0
29,0x842,463461.0
30,0x844,462599.0
31,0x846,462519.0
32,0x848,462324.0
33,0x84a,464052.0
34,0x84c,461302.0
35,0x84e,462055.0
36,0x850,462532.0
37,0x852,462766.0
38,0x854,464965.0
39,0x856,458254.0
40,0x858,458804.0
41,0x85a,461496.0
42,0x85c,459700.0
43,0x85e,451309.0
44,0x860,453583.0
45,0x862,462158.0
46,0x864,457557.0
47,0x866,457510.0
48,0x868,460353.0
49,0x86a,459069.0
50,0x86c,460066.0
51,0x86e,458724.0
52,0x870,457988.0
53,0x872,457873.0
54,0x874,459145.0
55,0x876,501292.0
56,0x878,496354.0
57,0x87a,482129.0
58,0x87c,494789.0
59,0x87e,493059.0
60,0x880,489986.0
61,0x882,482703.0
62,0x884,487532.0
63,0x886,487822.0
64,0x888,489731.0
65,0x88a,490357.0
66,0x88c,492266.0
67,0x88e,489090.0
68,0x890,476331.0
69,0x892,483978.0
70,0x894,481702.0
71,0x896,487528.0
72,0x898,490370.0
73,0x89a,491444.0
74,0x89c,492361.0
75,0x89e,491494.0
76,0x8a0,487288.0
77,0x8a2,485087.0
78,0x8a4,484940.0
79,0x8a6,491875.0
80,0x8a8,480952.0
81,0x8aa,487307.0
82,0x8ac,489433.0
83,0x8ae,480807.0
84,0x8b0,488979.0
85,0x8b2,487838.0
86,0x8b4,487663.0
87,0x8b6,488127.0
88,0x8b8,488055.0
89,0x8ba,487228.0
90,0x8bc,486827.0
91,0x8be,487217.0
92,0x8c0,492111.0
93,0x8c2,488622.0
94,0x8c4,488622.0
95,0x8c6,489086.0
96,0x8c8,488029.0
97,0x8ca,487568.0
98,0x8cc,487273.0
99,0x8ce,486867.0
100,0x8d0,486765.0
101,0x8d2,486634.0
102,0x8d4,487562.0
103,0x8d6,488925.0
104,0x8d8,489846.0
105,0x8da,489728.0
106,0x8dc,489039.0
