bit_index,success_rate,ground_truth
1984,0.5384615384615384,1
1985,0.37037037037037035,1
1986,0.5,1
1987,0.38461538461538464,1
1988,0.96,0
1989,0.7391304347826086,0
1990,0.46153846153846156,1
1991,0.36,1
1992,0.8333333333333334,0
1993,0.7391304347826086,0
1994,0.88,0
1995,0.7391304347826086,0
1996,0.52,1
1997,0.19230769230769232,1
1998,0.7391304347826086,0
1999,0.92,0
2000,0.6521739130434783,0
2001,0.9583333333333334,0
2002,0.8260869565217391,0
2003,0.9166666666666666,0
2004,0.7916666666666666,0
2005,1.0,0
2006,0.3076923076923077,1
2007,0.23076923076923078,1
2008,0.37037037037037035,1
2009,0.782608695652174,0
2010,0.3333333333333333,1
2011,0.23076923076923078,1
2012,0.8333333333333334,0
2013,0.8260869565217391,0
2014,0.9583333333333334,0
2015,0.37037037037037035,1
2016,1.0,0
2017,0.34615384615384615,1
2018,0.8333333333333334,0
2019,0.34615384615384615,1
2020,0.38461538461538464,1
2021,1.0,0
2022,0.5555555555555556,1
2023,0.3076923076923077,1
2024,0.23076923076923078,1
2025,0.7916666666666666,0
2026,0.34615384615384615,1
2027,0.34615384615384615,1
2028,0.3076923076923077,1
2029,1.0,0
2030,0.9565217391304348,0
2031,0.38461538461538464,1
2032,0.875,0
2033,0.8260869565217391,0
2034,0.8333333333333334,0
2035,0.25925925925925924,1
2036,0.2,1
2037,0.84,0
2038,0.875,0
2039,1.0,0
2040,0.3333333333333333,1
2041,0.9583333333333334,0
2042,0.875,0
2043,0.2692307692307692,1
2044,0.9545454545454546,0
2045,0.6363636363636364,0
2046,0.9090909090909091,0
2047,0.15789473684210525,1
2048,0.21052631578947367,1
