time,candidate_byte_value,success_rate
0.0,IDLE,0.0
0.49007568,IDLE,0.5
0.98015136,IDLE,0.5
1.47022704,IDLE,0.625
1.96030272,A,0.5
2.4503784,A,0.875
2.94045408,A,0.625
3.43052976,A,1.0
3.92060544,A,0.875
4.41068112,A,0.5
4.9007568,A,0.875
5.39083248,A,0.875
5.88090816,A,0.5
6.37098384,A,0.75
6.86105952,A,0.625
7.3511352,A,0.625
7.84121088,A,0.375
8.33128656,A,0.5
8.82136224,A,0.875
9.31143792,B,0.75
9.8015136,B,1.0
10.29158928,B,0.875
10.78166496,B,0.625
11.27174064,B,0.75
11.76181632,B,0.5
12.251892,B,0.75
12.74196768,B,0.875
13.23204336,B,0.875
13.72211904,B,0.875
14.21219472,B,0.75
14.7022704,B,0.875
15.19234608,B,0.875
15.68242176,B,0.75
16.17249744,B,0.875
16.66257312,B,1.0
17.1526488,C,1.0
17.64272448,C,1.0
18.13280016,C,0.75
18.62287584,C,0.75
19.11295152,C,0.75
19.6030272,C,1.0
20.09310288,C,0.75
20.58317856,C,0.875
21.07325424,C,1.0
21.56332992,C,0.875
22.0534056,C,0.5
22.54348128,C,0.875
23.03355696,C,0.875
23.52363264,C,1.0
24.01370832,C,0.875
24.503784,D,1.0
24.99385968,D,0.75
25.48393536,D,0.5
25.97401104,D,0.75
26.46408672,D,0.625
26.9541624,D,0.875
27.44423808,D,0.625
27.93431376,D,0.875
28.42438944,D,0.875
28.91446512,D,0.875
29.4045408,D,0.75
29.89461648,D,0.875
30.38469216,D,0.875
30.87476784,D,0.625
31.36484352,D,0.625
31.8549192,E,0.625
32.34499488,E,0.875
32.83507056,E,0.75
33.32514624,E,0.875
33.81522192,E,0.875
34.3052976,E,0.75
34.79537328,E,0.75
35.28544896,E,1.0
35.77552464,E,1.0
36.26560032,E,0.75
36.755676,E,0.75
37.24575168,E,1.0
37.73582736,E,0.625
38.22590304,E,0.75
38.71597872,E,0.75
39.2060544,F,0.875
39.69613008,F,0.75
40.18620576,F,1.0
40.67628144,F,0.875
41.16635712,F,0.625
41.6564328,F,0.875
42.14650848,F,1.0
42.63658416,F,0.75
43.12665984,F,0.875
43.61673552,F,0.875
44.1068112,F,0.75
44.59688688,F,0.75
45.08696256,F,0.625
45.57703824,F,0.875
46.06711392,F,0.5
46.5571896,G,1.0
47.04726528,G,1.0
47.53734096,G,0.75
48.02741664,G,0.875
48.51749232,G,0.375
49.007568,G,0.75
49.49764368,G,0.875
49.98771936,G,0.625
50.47779504,G,0.5
50.96787072,G,0.375
51.4579464,G,0.875
51.94802208,G,0.875
52.43809776,G,0.75
52.92817344,G,0.375
53.41824912,G,0.75
53.9083248,H,0.875
54.39840048,H,0.5
54.88847616,H,0.5
55.37855184,H,0.625
55.86862752,H,0.875
56.3587032,H,0.75
56.84877888,H,1.0
57.33885456,H,1.0
57.82893024,H,0.875
58.31900592,H,0.75
58.8090816,H,0.875
59.29915728,H,1.0
59.78923296,H,1.0
60.27930864,H,0.875
60.76938432,H,0.75
61.25946,H,0.5
61.74953568,I,1.0
62.23961136,I,0.875
62.72968704,I,0.875
63.21976272,I,0.75
63.7098384,I,0.75
64.19991408,I,1.0
64.68998976,I,0.75
65.18006544,I,0.625
65.67014112,I,0.75
66.1602168,I,0.625
66.65029248,I,0.5
67.14036816,I,1.0
67.63044384,I,0.875
68.12051952,I,1.0
68.6105952,I,0.5
69.10067088,J,0.625
69.59074656,J,1.0
70.08082224,J,0.375
70.57089792,J,0.75
71.0609736,J,0.875
71.55104928,J,0.625
72.04112496,J,0.625
72.53120064,J,0.375
73.02127632,J,1.0
73.511352,J,0.75
74.00142768,J,0.75
74.49150336,J,0.75
74.98157904,J,1.0
75.47165472,J,0.75
75.9617304,J,0.75
76.45180608,K,0.875
76.94188176,K,0.625
77.43195744,K,0.625
77.92203312,K,1.0
78.4121088,K,0.375
78.90218448,K,0.75
79.39226016,K,0.75
79.88233584,K,0.875
80.37241152,K,0.75
80.8624872,K,0.75
81.35256288,K,0.875
81.84263856,K,0.875
82.33271424,K,0.75
82.82278992,K,0.75
83.3128656,K,0.875
83.80294128,L,1.0
84.29301696,L,0.75
84.78309264,L,0.875
85.27316832,L,0.75
85.763244,L,1.0
86.25331968,L,0.875
86.74339536,L,0.875
