time,hs_activations,rapl_delta
0.085197615,505317,646971
0.170394495,505173,646666
0.255590859,505000,646849
0.340783678,504793,646483
0.425979976,504544,646299
0.511175011,504245,646666
0.596371979,503887,646361
0.681568831,503457,654051
0.766765492,502941,646360
0.851962165,502322,646239
0.937159412,501579,646239
1.022356563,500687,646177
1.107552997,499617,646056
1.19275062,498333,645811
1.277947355,496793,645872
1.363143185,494944,645384
1.448340303,492725,645262
1.533537115,490063,645079
1.618734607,486868,644774
1.70393129,483034,636595
1.789128254,478434,643980
1.874325383,472913,635680
1.959522694,466289,643126
2.044719666,458339,634336
2.129917211,448799,633727
2.215113406,437352,632383
2.300309255,446891,647094
2.385506583,438942,640135
2.470703155,429402,631468
2.555900089,437352,646238
2.641097252,430727,631346
2.726293808,422777,630492
2.811490843,429402,653135
2.896688017,423881,630675
2.981885199,428482,645628
3.067082414,434003,638060
3.152278066,429402,638793
3.237475352,433236,646360
3.322672415,437836,638670
3.407869509,434003,639098
3.493066423,429402,639036
3.578263177,433236,646178
3.663460235,430041,630736
3.748657175,432703,646177
3.833854279,435898,646727
3.919052126,433236,631224
4.00424785,435454,646727
4.089445048,438117,638914
4.174641162,435898,639220
4.259838633,433236,638975
4.34503552,435454,646605
4.430232568,433606,638853
4.515428958,435146,638732
4.600626825,436995,638975
4.685822991,435454,639036
4.771020529,433606,638854
4.856217326,435146,646666
4.941413022,433862,638975
5.02661114,432322,638731
5.111807648,433606,638732
5.19700391,432536,638731
5.282201188,431252,638487
5.367398579,432322,646483
5.452595692,431430,638548
5.537791713,430360,638670
5.622990176,431252,638548
5.708186641,430509,638609
5.793382256,431128,646056
5.878581426,431871,638548
5.9637761,432763,638609
6.048973102,432019,638610
6.134170736,432639,646299
6.219367226,433382,638792
6.304564193,434273,638854
6.389760864,435343,638731
6.474959664,436627,646910
6.560154863,438168,638914
6.645352942,440017,647155
6.730549495,438476,639402
6.815745476,436627,631407
6.900943471,438168,646849
6.986139397,436884,639403
7.071335977,435343,639097
7.156532785,436627,639037
7.241729965,435557,639158
7.326926971,434273,638793
7.412126222,435343,646910
7.497321289,434452,638975
7.582517948,435195,638853
7.667715025,434575,638976
7.752912037,433832,638914
7.838108166,432941,638915
7.923304858,433684,646482
8.008503546,433065,638670
8.093699415,433581,638732
8.178896386,434200,638914
8.264093691,433684,638853
8.349290055,433065,646483
8.434486964,433581,638793
8.519684391,433151,638792
8.604881935,433509,638792
8.69007833,433939,646605
8.775273915,433581,638914
8.860472199,433151,638548
8.945668957,433509,638732
9.03086554,433939,638914
9.116062343,433581,646544
9.201259487,433879,639036
9.28645621,433630,638671
9.371652999,433332,638853
9.456849797,433581,638792
9.542047112,433373,646544
9.627243881,433124,638914
9.712441216,433332,638732
9.797636937,433581,638670
9.882834681,433879,638792
9.968031235,434238,638670
10.053228251,433939,646666
10.138425893,433581,638854
10.223622557,433879,638731
10.308819203,433630,638853
10.39401652,433332,638609
10.479213509,433581,646483
10.564410621,433373,638976
10.649606579,433124,638731
10.734803179,433332,638609
10.820000062,433159,638731
10.905197456,432952,646483
10.99039408,433124,638853
11.075591038,432980,638915
11.16078831,432808,638548
11.245985278,432952,638731
11.331182959,433124,638609
11.416379148,432980,646483
11.501575922,433100,638670
11.586772374,433000,638732
11.671969448,433084,638731
11.757165897,433184,638609
11.842363553,433304,646483
11.927560964,433448,638792
12.012757812,433621,638854
12.097953919,433477,638670
12.18315113,433304,638853
12.268348579,433448,646605
12.35354521,433328,638792
12.438741622,433184,638793
12.523938307,433304,638792
12.609135283,433204,638548
12.694332174,433287,646483
12.779529306,433387,638792
12.864726242,433507,638914
12.949923216,433651,638793
13.03512005,433824,646788
13.120317503,433680,638853
13.205514035,433507,638914
13.290711034,433651,638793
13.375906868,433531,638975
13.461104238,433631,646544
13.546300925,433751,638914
13.631498796,433651,638915
13.716695565,433531,638670
13.801892238,433631,638792
13.887089005,433548,638609
13.972285931,433617,646666
14.057482914,433701,638792
14.142680442,433801,638793
14.227875875,433921,638609
14.313074217,434065,646666
14.398270327,433945,638853
14.483467342,433801,638792
14.568664277,433921,638854
14.65386198,433821,638670
14.73905845,433701,646788
14.824255382,433557,638853
14.909452242,433384,638671
14.994648873,433176,638792
15.07984535,433349,638792
15.165043376,433557,638915
15.250239443,433384,646482
15.335436351,433528,638915
15.420633228,433408,638853
15.505830234,433508,638731
15.591027205,433628,646788
15.676224339,433528,638548
15.761421394,433611,638732
15.846618689,433711,638914
15.931814993,433628,638731
16.01701204,433697,646788
16.102208684,433639,638976
16.18740535,433570,638731
16.272602315,433487,638853
16.357799223,433556,638976
16.44299721,433498,638914
16.528192876,433429,638548
16.613390793,433487,646483
16.698587461,433438,638731
16.783784509,433479,638853
16.868980944,433527,638732
16.954178167,433487,646605
17.039373958,433520,638914
17.12457087,433560,638853
17.209768271,433527,638609
17.294966987,433555,638732
17.380162345,433588,646727
17.465358925,433560,638853
17.550556312,433583,638609
17.635753689,433611,638976
17.720950124,433645,638853
